block_size,embedding_dim,model_label,idx,valid,token_len,pinyin_tokens,name
3,2,"bs=3, emb=2",0,True,7,j iang | l an y ue,蒋岚月
3,2,"bs=3, emb=2",1,True,5,w eng | ch e,翁澈
3,2,"bs=3, emb=2",2,True,7,g uan | y u h eng,官于衡
3,2,"bs=3, emb=2",3,True,7,x in | q ing y an,辛晴言
3,2,"bs=3, emb=2",4,True,7,c ai | t ing l an,蔡听澜
3,2,"bs=3, emb=2",5,True,7,l i | ch eng n ing,璃承宁
3,2,"bs=3, emb=2",6,True,5,w en | n an,闻南
3,2,"bs=3, emb=2",7,True,7,t ian | y un q i,田云齐
3,2,"bs=3, emb=2",8,True,5,h u | y ao,狐摇
3,2,"bs=3, emb=2",9,True,7,g u | w u ch en,谷武尘
3,2,"bs=3, emb=2",10,True,7,b i | m o y uan,毕墨元
3,2,"bs=3, emb=2",11,True,5,y an | y an,阎阎
3,2,"bs=3, emb=2",12,True,7,j iang | j ing m ing,江惊明
3,2,"bs=3, emb=2",13,True,7,l uo | x uan x iao,罗玄霄
3,2,"bs=3, emb=2",14,True,5,b ao | w an,抱婉
3,2,"bs=3, emb=2",15,True,7,y ang | m o w ei,恙莫魏
3,2,"bs=3, emb=2",16,True,7,sh en | y u ch en,申瑜宸
3,2,"bs=3, emb=2",17,True,5,j ing | h e,景禾
3,2,"bs=3, emb=2",18,True,7,y u | y un l an,雨云澜
3,2,"bs=3, emb=2",19,True,7,y uan | r uo l an,元若澜
3,2,"bs=3, emb=2",20,True,7,m iao | y un zh i,苗韵执
3,2,"bs=3, emb=2",21,True,7,y in | ch eng _ an,音程安
3,2,"bs=3, emb=2",22,True,7,t an | q ing y uan,覃晴辕
3,2,"bs=3, emb=2",23,True,7,w u | g ui y un,无桂韵
3,2,"bs=3, emb=2",24,True,5,l uo | b ai,罗柏
3,2,"bs=3, emb=2",25,True,5,sh en | h e,沈何
3,2,"bs=3, emb=2",26,True,5,w ang | r uo,汪若
3,2,"bs=3, emb=2",27,True,7,ch o | q ing y ang,cho清阳
3,2,"bs=3, emb=2",28,True,7,j u | q ing n ing,ju清宁
3,2,"bs=3, emb=2",29,True,7,zh ou | zh ao h ua,周照华
3,2,"bs=3, emb=2",30,True,7,h uang | w u sh uang,皇吴双
3,2,"bs=3, emb=2",31,True,7,m o | q ing x ing,墨清行
3,2,"bs=3, emb=2",32,True,7,l uo | q ing t ang,罗晴汤
3,2,"bs=3, emb=2",33,True,9,x i m en | q ing y ue,曦门晴月
3,2,"bs=3, emb=2",34,True,5,sh en | y uan,深元
3,2,"bs=3, emb=2",35,True,7,n i | q ing y ue,倪晴岳
3,2,"bs=3, emb=2",36,True,7,d u | m ing zh ao,杜冥照
3,2,"bs=3, emb=2",37,True,7,h e | m ing y u,贺冥宇
3,2,"bs=3, emb=2",38,True,9,g ong s un | zh ao y e,公孙赵夜
3,2,"bs=3, emb=2",39,True,7,h ong | q ing y ue,鸿清月
3,2,"bs=3, emb=2",40,True,7,ch en | y u ch i,宸于迟
3,2,"bs=3, emb=2",41,True,7,l u | q ing n ing,卢青宁
3,2,"bs=3, emb=2",42,True,7,zh eng | y ao y in,郑摇音
3,2,"bs=3, emb=2",43,True,5,l iao | x uan,廖玄
3,2,"bs=3, emb=2",44,True,5,l iu | r uo,柳若
3,2,"bs=3, emb=2",45,True,7,l iang | q ing x i,梁清西
3,2,"bs=3, emb=2",46,True,7,y ou | r uo n ing,尤若宁
3,2,"bs=3, emb=2",47,True,7,w ei | q ing t ang,微青唐
3,2,"bs=3, emb=2",48,True,7,m eng | m o h an,孟墨韩
3,2,"bs=3, emb=2",49,True,7,ch eng | w u y a,承吴涯
3,2,"bs=3, emb=2",50,True,9,zh u g e | x ing l in,竹葛邢临
3,2,"bs=3, emb=2",51,True,5,zh ong | y ao,钟瑶
3,2,"bs=3, emb=2",52,True,7,m o | x ing l in,莫行临
3,2,"bs=3, emb=2",53,True,7,l iu | y ue y ao,柳越姚
3,2,"bs=3, emb=2",54,True,7,g u | x ing y ao,顾星遥
3,2,"bs=3, emb=2",55,True,7,g ao | t ing y un,高听云
3,2,"bs=3, emb=2",56,True,7,ch eng | zh i y uan,成知渊
3,2,"bs=3, emb=2",57,False,4,y u w ei,
3,2,"bs=3, emb=2",58,True,9,h e f u | l an w ei,禾扶岚卫
3,2,"bs=3, emb=2",59,True,7,ch eng | m o b ai,成墨柏
